City	Date	SSC	Date	Mo=W+M	65+	W	M	DIS offensife(1,2,3 etc) non-offensive(0)	day of the season	T	Td	AT	T-AT
KHB	20030623	0	23.06.2003	23	14	9	14	0	54	32	19,9	40,9	8,9
KHB	20030624	6	24.06.2003	26	16	14	12	0	55	28	18,7	36,1	8,1
KHB	20030625	0	25.06.2003	18	6	7	11	0	56	22	16,7	29,1	7,1
KHB	20030626	0	26.06.2003	19	9	11	8	0	57	27	17,8	34,6	7,6
KHB	20030627	1	27.06.2003	19	9	8	11	0	58	27	17,2	34,3	7,3
KHB	20030628	0	28.06.2003	20	7	6	14	0	59	25	12,9	30,2	5,2
KHB	20030629	0	29.06.2003	18	7	10	8	0	60			2,7	2,7
KHB	20030630	7	30.06.2003	13	7	8	5	0	61	24	16,3	30,8	6,8
KHB	20030701	1	01.07.2003	20	3	3	17	0	62	25	17,0	32,2	7,2
KHB	20030702	0	02.07.2003	19	10	9	10	0	63	21	16,6	28,0	7,0
KHB	20030703	0	03.07.2003	22	8	10	12	0	64	28	20,0	37,0	9,0
KHB	20030704	0	04.07.2003	24	10	13	11	0	65			2,7	2,7
KHB	20030705	0	05.07.2003	22	10	11	11	0	66			2,7	2,7
KHB	20030706	0	06.07.2003	24	13	10	14	0	67			2,7	2,7
KHB	20030707	1	07.07.2003	22	11	6	16	0	68	27	13,4	32,4	5,4
